Organization Name,Invested In,Api Url,Description,Rank
S28 Capital,freedom-robotics,https://api.crunchbase.com/v3.1/organizations/freedom-robotics,"",2072
S28 Capital,rhumbix,https://api.crunchbase.com/v3.1/organizations/rhumbix,"",1240
S28 Capital,mattermost,https://api.crunchbase.com/v3.1/organizations/mattermost,"",426
S28 Capital,kespry,https://api.crunchbase.com/v3.1/organizations/kespry,"",2167
S28 Capital,aurora-solar,https://api.crunchbase.com/v3.1/organizations/aurora-solar,"",2472
S28 Capital,codestream,https://api.crunchbase.com/v3.1/organizations/codestream,"",16742
S28 Capital,panther-labs,https://api.crunchbase.com/v3.1/organizations/panther-labs,"",94399
S28 Capital,tenzo,https://api.crunchbase.com/v3.1/organizations/tenzo,"",9569
S28 Capital,acquire-68dc,https://api.crunchbase.com/v3.1/organizations/acquire-68dc,"",5022
S28 Capital,lucid-link-corp,https://api.crunchbase.com/v3.1/organizations/lucid-link-corp,"",16459
S28 Capital,intermix-io,https://api.crunchbase.com/v3.1/organizations/intermix-io,"",79004
S28 Capital,captivateiq,https://api.crunchbase.com/v3.1/organizations/captivateiq,"",64098
S28 Capital,defense-labs,https://api.crunchbase.com/v3.1/organizations/defense-labs,"",7878
S28 Capital,perpetua-labs,https://api.crunchbase.com/v3.1/organizations/perpetua-labs,"",78476
S28 Capital,qassurance-ai,https://api.crunchbase.com/v3.1/organizations/qassurance-ai,"",171565
S28 Capital,boxcat-inc,https://api.crunchbase.com/v3.1/organizations/boxcat-inc,"",226287
S28 Capital,eden,https://api.crunchbase.com/v3.1/organizations/eden,"",3689
S28 Capital,freenome,https://api.crunchbase.com/v3.1/organizations/freenome,"",268
S28 Capital,karius,https://api.crunchbase.com/v3.1/organizations/karius,"",3286
S28 Capital,knote,https://api.crunchbase.com/v3.1/organizations/knote,"",66402
S28 Capital,scaleft,https://api.crunchbase.com/v3.1/organizations/scaleft,"",17917
S28 Capital,acerta,https://api.crunchbase.com/v3.1/organizations/acerta,"",10628
S28 Capital,outschool,https://api.crunchbase.com/v3.1/organizations/outschool,"",3694
S28 Capital,patientbank,https://api.crunchbase.com/v3.1/organizations/patientbank,"",37759
S28 Capital,lookback,https://api.crunchbase.com/v3.1/organizations/lookback,"",9412
S28 Capital,vitagene,https://api.crunchbase.com/v3.1/organizations/vitagene,"",4823
S28 Capital,plangrid,https://api.crunchbase.com/v3.1/organizations/plangrid,"",1335
S28 Capital,earnest,https://api.crunchbase.com/v3.1/organizations/earnest,"",1317
S28 Capital,collectivehealth,https://api.crunchbase.com/v3.1/organizations/collectivehealth,"",130
S28 Capital,bizzy-2,https://api.crunchbase.com/v3.1/organizations/bizzy-2,"",36701
S28 Capital,memed,https://api.crunchbase.com/v3.1/organizations/memed,"",8521
S28 Capital,gravitational,https://api.crunchbase.com/v3.1/organizations/gravitational,"",11626
S28 Capital,duetto-research,https://api.crunchbase.com/v3.1/organizations/duetto-research,"",2248
S28 Capital,epinomics,https://api.crunchbase.com/v3.1/organizations/epinomics,"",108925
